baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSG00000009709	0	NA	NA	NA	NA	NA
ENSG00000009724	0	NA	NA	NA	NA	NA
ENSG00000009765	0	NA	NA	NA	NA	NA
ENSG00000009780	3.61924833523095	1.83583213739547	2.64828445016379	0.693215616351912	0.488174249398718	NA
ENSG00000009790	0	NA	NA	NA	NA	NA
ENSG00000009830	25.2914386052192	0.220704937858671	1.2511191921651	0.176406004512435	0.859974987721438	0.992206489057788
ENSG00000009844	29.8178090367778	-0.609404373545394	0.990500532110261	-0.615248910817905	0.53839035136508	0.992206489057788
ENSG00000009950	0	NA	NA	NA	NA	NA
ENSG00000009954	4.23117392646373	0.511191183927382	1.39452215229148	0.366570859478561	0.713939148043624	NA
ENSG00000010017	16.8156728460684	0.171865886628946	0.871439807667539	0.197220605619286	0.843654906329973	0.992206489057788
ENSG00000010030	0.747977788637209	-2.94782619200484	3.81655199437644	-0.772379413760998	0.439889742929993	NA
ENSG00000010072	1.53857297847431	-0.141372754138021	2.47773048286386	-0.0570573575761222	0.954499504777492	NA
ENSG00000010165	4.73038660341446	2.54863399088771	1.65093348478466	1.54375328526342	0.122648112185148	NA
ENSG00000010219	355.833452823163	0.0323382213397532	0.468398466958358	0.0690399811719029	0.944957795033509	0.993761264727548
ENSG00000010244	122.155104290334	0.629285621865255	0.397475561622645	1.5832058184817	0.113374560722358	0.871525497482688
ENSG00000010256	199.82572827875	-0.431787775057999	0.454337891124352	-0.950367080301078	0.34192576498973	0.991774070003933
ENSG00000010270	11.0414982724596	0.662001129062837	1.20962227258699	0.547279216053976	0.584186920522896	0.992206489057788
ENSG00000010278	146.076008567809	0.145265019092709	0.623643845152041	0.232929451997227	0.815816187990735	0.992206489057788
ENSG00000010282	6.9229797320862	-1.67442632339347	1.31551918186594	-1.2728254718555	0.203079980313517	NA
ENSG00000010292	5.0467721052942	0.312184889718916	1.28222161651028	0.243471866094852	0.807639877074893	NA
ENSG00000010295	2.85605275014685	0.710179529421731	1.76147655766227	0.403172853100153	0.68682106890646	NA
ENSG00000010310	1.45239206658809	-2.48346523502641	2.85288776943993	-0.870509264903173	0.384022158266599	NA
ENSG00000010318	1.74693297279711	-2.11446545082445	2.13328317750102	-0.991178983233437	0.32159819107789	NA
ENSG00000010319	1.89033652075539	-5.5949908187901	4.26008688582764	-1.31335133971173	0.189064586250117	NA
ENSG00000010322	17.8250794682068	-0.551646602271984	0.798405935926323	-0.690934996158257	0.489606392279168	0.992206489057788
ENSG00000010327	0	NA	NA	NA	NA	NA
ENSG00000010361	15.9564498472423	-0.995876729395494	1.20473444216613	-0.826635891313018	0.408443467893612	0.992206489057788
ENSG00000010379	0	NA	NA	NA	NA	NA
ENSG00000010404	20.8506050993356	0.441742221851577	0.818910026378253	0.539427052572851	0.589592218713803	0.992206489057788
ENSG00000010438	2.32818463899126	-2.24757187260148	2.59369123082622	-0.866553368376664	0.386186773058737	NA
ENSG00000010539	1.59169228197726	-0.475512785883264	1.83295904344514	-0.25942357391113	0.795308442804575	NA
ENSG00000010610	0	NA	NA	NA	NA	NA
ENSG00000010626	8.9183051510744	0.437948769577488	2.0726343721815	0.211300543624844	0.832652758749241	0.992206489057788
ENSG00000010671	0	NA	NA	NA	NA	NA
ENSG00000010704	1.15776068697188	-4.51057681577986	4.2746039919344	-1.05520343505286	0.291332293479195	NA
ENSG00000010803	46.8605047523064	0.845218334868876	0.564567405086392	1.49710792237384	0.134365178673223	0.895427261677829
ENSG00000010810	37.0339324401029	-0.362684205977555	1.00306733949596	-0.361575132293514	0.717669550616565	0.992206489057788
ENSG00000010818	4.68331354119707	0.224700351071197	0.956715220739442	0.234866495483919	0.814312354959016	NA
ENSG00000010932	0.640751617512749	3.59044588941484	4.2750261072987	0.839865254456556	0.400983940954737	NA
ENSG00000011007	7.47734110298793	0.741594339269462	0.793088179442137	0.935071734130629	0.349751332291793	NA
ENSG00000011009	38.7160054111774	-0.260189001356655	0.446695130508653	-0.582475571337386	0.560246391425232	0.992206489057788
ENSG00000011021	2.97731619360009	1.61016354026354	1.61000811053804	1.00009653971585	0.317263790548083	NA
ENSG00000011028	9.86697935808591	-0.832395625641973	0.773264216611448	-1.07646986341829	0.281717171889001	0.982902473964921
ENSG00000011052	2.96043069671302	0.820625215693532	3.01833546354389	0.27188005627778	0.785714246592085	NA
ENSG00000011083	0	NA	NA	NA	NA	NA
