UNTR_The_002_1	UNTR_The_002_2	UNTR_The_002_3	UNTR_The_008_1	UNTR_The_008_2	UNTR_The_008_3	UNTR_The_024_1	UNTR_The_024_2	UNTR_The_024_3	UNTR_The_072_1	UNTR_The_072_2	UNTR_The_072_3
P21980 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P22087	1192.5007	619.2712	4313.7744	2820.1074	3239.9683	5579.325	NA	NA	NA	NA	NA	NA
P22087 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P22102	2191.2925	1195.5858	4131.645	NA	NA	NA	NA	NA	NA	1569.2205	1195.7267	1645.3613
P22102 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P22234	3090.8643	1585.0997	3566.288	NA	NA	NA	NA	NA	NA	NA	NA	NA
P22234 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P22307	3093.0483	1234.5374	4692.1436	8800.652	3600.3171	9179.249	NA	NA	NA	8067.952	4371.288	7277.9033
P22307 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P22314	49540.11	19219.748	73554.2	71621.6	47565.36	111068.64	49381.242	54965.67	61918.734	34515.094	31473.76	33914.633
P22314 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P22392	63266.984	32187.775	110433.695	88964.24	59467.234	96649.164	NA	NA	NA	64658.348	47827.113	62348.555
P22392 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P22626	115366.24	59495.445	162338.38	164088.66	121184.48	167738.39	176997.16	212808.72	232211.4	159647.86	116042.8	131856.8
P22626 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P22695	30772.639	19396.697	58667.453	20641.664	13527.176	16762.855	15076.854	18572.2	11613.922	13995.488	10526.932	13398.449
P22695 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P23246	27669.574	13183.393	40724.99	42215.54	30680.576	43087.953	13911.307	15129.602	10678.221	29435.102	22800.617	28993.795
P23246 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P23284	17933.182	10199.092	29565.207	36825.46	24899.207	40942.945	26714.95	27763.137	30686.176	28593.107	22621.168	25373.104
P23284 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P23327	1548.8109	85.2973	2425.6152	2339.6443	1206.4518	2590.3108	4897.368	6505.548	3280.226	16827.877	16538.268	19598.229
P23327 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P23381	11768.273	5804.318	14568.424	14221.547	17811.021	19781.498	NA	NA	NA	NA	NA	NA
P23381 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P23526	19974.77	9804.769	34417.26	32914.367	25786.508	32330.004	23916.887	24317.787	21410.84	24158.188	21671.658	25905.36
P23526 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P23528	190893.19	96302.59	253172.12	188707.28	306105.78	433405.6	213237.58	236712.97	248109.94	324576.8	188640.27	249208.47
P23528 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P23588	2876.0125	685.1277	3686.3132	4889.329	4182.5405	6619.7744	1509.1957	1520.1711	1843.7054	3364.287	3513.5845	2905.4675
P23588 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P24534	14978.131	6763.299	19898.86	12527.673	11702.479	12942.268	19134.123	17649.834	21890.123	23320.334	16924.154	18451.148
P24534 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P24539	51448.984	31012.758	90720.555	63196.703	31937.025	67843.75	56443.395	66603.67	44879.816	62138.867	59203.543	83442.12
P24539 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P24752	52434.984	23601.805	76719.69	62390.133	49224.246	72436.01	12719.289	15196.729	7018.6504	25077.793	19636.27	21209.129
P24752 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P24821	7285.6377	819.0442	8083.1147	5519.483	4208.3794	6703.629	NA	NA	NA	NA	NA	NA
P24821 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P25325	5329.792	1900.6185	7706.9976	NA	NA	NA	NA	NA	NA	NA	NA	NA
P25325 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P25398	14421.232	5925.1113	13293.67	56115.996	46469.367	60056.36	46179.12	50589.53	48795.97	13688.432	9049.851	13705.24
P25398 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P25705	791261.5	412424.25	1254765.2	1132145.6	899222.06	1391264.2	735180.94	935312.9	809714.8	1532388.5	912879.1	1291282.2
P25705 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P25786	5776.843	4103.0986	13977.848	6678.982	4287.7754	6187.9834	4718.8496	5535.603	3215.82	9071.332	8902.672	7901.3403
P25786 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P25787	15906.992	4893.912	26227.816	13995.997	9928.815	8030.9717	NA	NA	NA	14131.736	8462.402	11764.949
P25787 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P25788	10550.685	5818.5527	15933.619	16467.678	12695.29	17113.25	11310.904	12484.42	10197.078	18446.543	11978.581	15061.557
P25788 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P25789	9493.793	3629.0435	18055.59	NA	NA	NA	8457.979	6174.147	12963.758	NA	NA	NA
P25789 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P26038	5055.551	1244.0009	8155.793	25011.064	18608.414	25372.125	10862.681	9966.432	11069.891	11260.7295	19042.02	14812.197
P26038 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P26373	18326.088	11538.531	38606.38	37591.504	36283.223	48205.133	19182.43	24240.402	13363.986	33349.215	26022.219	29414.223
P26373 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P26583	15750.377	652.66125	24650.125	9702.754	6713.3745	13167.383	13031.67	11852.061	11099.91	6940.1953	7359.906	9024.355
P26583 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P26641	42919.395	19648.316	73271.37	82022.06	53913.43	72349.33	55428.19	59696.574	44112.406	66652.47	47682.516	62058.14
P26641 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P26678	19602.729	15777.825	30845.959	33420.926	27271.785	46371.86	15699.646	15400.893	11027.581	17361.08	14570.335	18256.705
P26678 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P27105	4955.0684	939.0283	2522.5786	4343.307	3460.8687	5247.5513	NA	NA	NA	NA	NA	NA
P27105 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P27348	56980.508	34460.625	74226.66	85209.96	67715.195	93702.75	66141.67	70292.79	68427.51	96704.17	74401.96	74065.59
P27348 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P27695	10677.548	6015.801	16785.453	8104.8555	4314.3574	6698.1025	3877.1816	3867.4426	4523.716	11785.805	2918.896	10671.694
P27695 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P27797	86476.97	39367.645	92061.07	96291.06	82744.82	127527.95	84348.836	87961.664	99079.19	150691.39	91624.58	126347.914
P27797 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P27816	20333.826	17060.328	45277.92	37306.4	22750.39	31279.816	31349.285	31985.574	26684.816	28768.47	19328.57	27482.322
P27816 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P27824	15212.436	8110.364	25996.29	28875.79	32151.363	44163.473	19539.691	16973.566	16253.271	27297.883	19999.04	28088.809
P27824 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P28066	13211.867	5609.7573	14318.299	41063.82	37404.926	55213.508	NA	NA	NA	42746.85	31844.54	37542.67
P28066 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P28070	10764.009	3710.3323	14053.428	4054.9673	6847.6836	7500.9707	NA	NA	NA	NA	NA	NA
P28070 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P28072	12618.299	6086.2935	14449.343	18755.02	10246.673	17328.055	NA	NA	NA	NA	NA	NA
P28072 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P28074	2108.8477	720.0275	4170.211	11037.604	9670.128	14683.774	3014.6885	3787.99	2969.6172	4770.5176	3677.625	4124.2314
P28074 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P28161	231.74928	1067.7827	4949.5693	NA	NA	NA	NA	NA	NA	1547.4734	1476.2391	1794.021
P28161 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P28289	4013.1462	2000.3156	6326.7686	16574.887	11968.438	17759.904	NA	NA	NA	11616.149	4980.5464	9579.416
P28289 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P28331	12449.427	7719.0996	25022.752	24590.291	17792.996	23315.545	26500.77	31513.578	19305.34	56873.844	35002.02	52309.16
P28331 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P28482	1245.2266	689.20715	2615.1536	4632.285	2701.1733	7623.407	NA	NA	NA	NA	NA	NA
P28482 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P28799	6330.5713	4890.642	17252.592	28330.582	22375.281	35488.1	9710.8955	10214.01	8060.101	12710.6	10316.135	13035.959
P28799 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P28838	7011.02	4460.11	15958.212	10227.76	9455.104	14478.998	6655.129	7242.1113	4868.633	17301.246	10816.098	12862.535
P28838 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P29218	18021.326	8224.931	22180.96	18644.639	15899.374	19725.36	16384.082	18910.316	17057.494	12800.823	10152.6875	12133.161
P29218 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P29401	38250.13	15206.025	46321.766	17475.848	12864.234	18029.41	16242.465	15980.276	10387.324	12991.785	9551.184	10803.168
P29401 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P29692	46639.832	23681.477	58526.39	69668.04	51437.69	75607.66	39738.375	44345.344	39105.42	49507.168	40637.652	41598.094
P29692 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P30038	8736.054	7382.541	20630.078	27005.496	20676.629	28630.99	14244.711	17756.488	9622.288	24013.82	25009.936	24557.385
P30038 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P30040	19655.273	10568.02	31771.646	6246.7715	8607.51	10686.025	7536.962	9317.992	6312.7344	19006.95	12528.307	18382.414
P30040 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P30041	62338.22	16968.795	74390.2	72143.84	53603.293	81029.69	6736.5483	7322.8623	50047.184	51161.688	31605.375	45132.055
P30041 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P30042	21382.434	6689.267	22876.04	39143.254	36398.977	64347.77	30705.785	39898.758	53429.1	26334.172	29341.436	33368.695
P30042 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P30044	93756.79	32491.13	101130.05	57599.71	49903.67	72030.21	65845.375	72860.91	69597.3	82351.92	61629.95	69464.625
P30044 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P30046	11673.098	3359.0637	14920.463	NA	NA	NA	NA	NA	NA	NA	NA	NA
P30046 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P30048	60395.992	31137.746	107449.67	105189.484	88452.484	137102.56	83975.555	92820.56	70302.92	95987.13	71814.68	94653.65
P30048 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P30049	59098.09	39078.242	77602.34	34457.555	20802.277	39107.29	NA	NA	NA	86472.9	68405.15	78068.59
P30049 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P30050	15616.26	8680.059	19491.09	23530.25	16444.945	28631.742	14495.992	13943.713	27705.43	10985.675	9866.971	10207.096
P30050 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P30084	7071.154	5202.0815	8503.187	41352.758	43942.785	59913.51	37179.99	17236.424	39961.75	7412.23	39953.18	65616.875
P30084 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P30086	28251.84	14938.26	39082.125	43036.78	29991.383	38440.703	26457.664	29173.422	27352.793	43453.96	29682.664	38101.598
P30086 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P30101	81004.42	36623.766	106193.71	74936.87	57809.758	93127.41	89012.555	96409.16	91011.336	77884.42	61845.84	81801.75
P30101 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P30153	9664.326	5442.7896	15908.074	15039.014	10424.698	14953.564	48730.91	65923.55	57274.145	13707.309	10909.51	12518.582
P30153 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P30405	5570.383	5579.024	15581.194	NA	NA	NA	23720.434	23865.242	25748.527	33046.61	15849.454	25507.086
P30405 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P30626	3459.9568	2897.023	8282.393	NA	NA	NA	NA	NA	NA	NA	NA	NA
P30626 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P30740	2913.397	1997.0166	4110.8403	4901.9053	7119.427	7865.831	NA	NA	NA	4399.5615	4247.7773	4710.443
P30740 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P31040	9462.31	23490.719	58456.348	55524.39	47981.938	59954.703	53035.383	71495.125	47603.1	80113.63	26212.58	71176.7
P31040 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P31150	22592.059	6284.115	36598.848	16399.578	13125.472	22502.762	20176.873	21448.82	25735.531	44181.668	27616.547	42873.195
P31150 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P31323	2825.124	1464.7837	4068.0354	3219.0364	2347.2793	4300.537	11031.235	13393.703	20950.855	10038.463	7106.613	8258.361
P31323 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P31930	14372.483	2963.7725	24468.258	38563.977	41032.742	68937.766	40115.324	44521.277	44814.96	51583.188	50158.1	56918.164
P31930 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P31937	3933.1255	2905.1946	15965.707	14335.013	10543.882	18282.299	NA	NA	NA	15074.047	6210.4277	9815.752
P31937 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P31939	3941.1143	3151.3481	9923.659	9565.727	8326.52	8811.4375	12907.203	15355.488	9541.779	5634.8027	5754.9326	5665.169
P31939 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P31942	9450.42	5115.072	13537.957	25579.967	19851.918	29561.152	18638.918	18897.754	16995.625	21101.934	17362.783	20207.703
P31942 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P31943	19770.008	10640.088	43210.523	40163.92	29827.527	49470.953	6326.2188	8838.436	22983.318	23896.355	17199.61	24501.1
P31943 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P31946	23819.195	5673.458	19816.207	35087.55	30456.25	43538.766	29923.729	29095.695	27270.492	15349.973	14749.04	15530.641
P31946 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P31948	18479.844	9371.468	24440.783	34596.46	23889.385	28838.074	16675.754	19893.53	18350.643	20725.861	15902.437	17800.48
P31948 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P31949	19666.943	11008.392	37796.973	35764.04	26095.555	39655.996	62037.043	73056.46	93907.484	30270.625	25051.334	27918.059
P31949 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P32119	176380	87160.86	304222.12	124049.55	87409.914	126257.13	132240.83	129768.24	103948.664	144190.23	116423.234	149436.4
P32119 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P32418	20042.293	11222.104	26091.965	25731.625	21340.207	35161.215	12614.024	12317.356	9621.094	26952.29	20646.656	29715.549
P32418 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P33121	2819.4863	188.72617	2945.4795	5644.422	5370.1357	5318.537	NA	NA	NA	7097.5537	5802.457	7380.82
P33121 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P33176	3409.5776	1121.8464	8452.998	7408.081	8070.8447	10880.17	6667.1	5806.227	6900.2275	9024.923	7187.3525	9743.326
P33176 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P34897	3026.443	1932.651	5005.022	12992.285	10577.766	14783.168	NA	NA	NA	7905.5674	6453.241	8311.713
P34897 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P34932	11203.371	7303.5605	16991.314	198445.19	139174.9	178286.72	11779.994	11220.803	27990.768	15030.82	13741.876	15648.646
P34932 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P35080	4114.449	2511.7158	6019.634	NA	NA	NA	NA	NA	NA	6834.1387	6522.363	5842.9307
P35080 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P35221	897.3545	NA	3324.2754	4219.8257	2199.7263	5160.1865	2149.2544	2248.6929	2266.0874	NA	NA	NA
P35221 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P35222	1749.7512	NA	3783.0186	6001.479	5473.074	10349.704	4898.3	5077.8906	4872.5874	9116.006	2810.2327	6921.876
P35222 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P35232	63724.688	24796.688	85586.99	67747.61	56031.117	89861.66	46224.004	57222.297	36266.47	62563.266	41898.684	51348.85
P35232 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P35237	16755.244	6379.409	27949.502	18676.562	15907.912	25709.162	11840.905	12030.104	12804.303	NA	NA	NA
P35237 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P35241	790.0027	705.5977	3832.6094	6002.836	6273.048	8632.483	NA	NA	NA	4996.7935	4691.272	22805.715
P35241 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P35527	92126.12	46784.082	20151.816	31784.855	64928.184	62283.6	10066.899	24409.596	33540.406	84194.25	63797.797	61815.1
P35527 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P35573	4790.7793	993.7957	5960.235	2195.8936	2738.629	3895.0693	NA	NA	NA	7259.8804	5714.0244	9807.962
P35573 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P35579	32876.234	16239.297	40826.215	59654.98	63019.152	98620.41	28711.705	31894.176	29660.178	41240.383	35811.35	51071.074
P35579 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P35606	5091.8247	2786.6284	10209.665	9702.243	7084.0483	12556.841	8347.131	10135.199	8543.107	7548.4644	4970.546	6017.4214
P35606 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P35609	73952.164	44966.152	162903.19	140037.83	71740.43	121849.91	77511.2	83268.266	60340.82	73959.22	59780.484	85763.734
P35609 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P35611	15172.471	6007.864	15918.568	13119.149	8602.186	12434.489	NA	NA	NA	NA	NA	NA
P35611 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P35613	21130.951	10043.026	31237.902	54432.242	37479.473	67143.625	32502.367	34797.52	27656.477	55922.83	51183.586	61387.758
P35613 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P35637	2642.4019	739.7064	6085.672	8373.016	5076.6616	9792.357	27114.375	26755.238	27386.008	8580.649	5866.422	7199.82
P35637 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P35754	6224.1685	3087.849	11086.311	7717.0293	5577.969	7442.378	14895.215	18943.969	20505.207	NA	NA	NA
P35754 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P35908	111206.5	36660.223	50961.363	32782.617	81623.016	38607.586	3430.881	12251.054	13744.607	62033.234	87285.734	19621.906
P35908 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P35998	4933.006	1345.1989	7276.209	4573.251	4601.418	5785.4736	NA	NA	NA	8450.238	7832.6826	7582.307
P35998 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P36542	18723.4	14217.453	44175.113	62754.492	53823.824	82416.61	49382.047	62288.156	52322.53	41706.574	24564.824	31019.195
P36542 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P36551	145.06326	228.06671	7291.057	4345.6387	8644.082	9607.904	NA	NA	NA	NA	NA	NA
P36551 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P36578	15049.545	10363.89	30054.082	32544.016	26826.637	36792.45	10966.536	11761.068	5852.943	23138.934	16136.925	18542.988
P36578 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P36776	3754.247	2820.1091	7139.378	7942.422	7512.0664	10008.157	2994.1338	4519.818	2538.741	32720.133	15424.072	29207.973
P36776 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P36871	20407.277	8803.521	27359.957	24610.793	16838.168	26945.143	18551.898	20292.197	17979.742	29824.43	21966.93	27569.633
P36871 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P36957	35372.707	20445.182	48831.953	35847.56	23465.764	29477.738	28736.072	36103.887	31706.201	65433.453	43166.773	51103.508
P36957 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P37108	13611.852	6257.6978	17425.576	16222.179	18252.432	27184.383	NA	NA	NA	NA	NA	NA
P37108 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P37802	8325.411	4607.116	13273.951	18439.49	11179.483	23497.266	6587.671	6231.4434	7441.5723	7211.593	5228.451	6722.9683
P37802 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P37837	24252.553	15404.1875	46293.555	50479.746	40673.89	50300.098	20832.434	23657.387	23668.926	39711.484	31131.285	34662.508
P37837 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P38117	34484.758	18619.232	60564.93	62574.57	42600.773	63164.2	31391.121	38177.88	22635.268	62702.625	42250.055	59509.15
P38117 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P38159	12162.846	4420.331	14925.148	9984.128	7992.7686	13260.013	26948.633	25025.88	40913.58	7637.172	4795.8	7488.5664
P38159 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P38606	3801.6914	2479.832	9987.537	7264.299	6219.2046	10647.095	9731.74	11038.447	5682.1064	NA	NA	NA
P38606 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P38646	88044.734	63790.414	164494.33	132637.47	120878.89	184773.31	60052.91	76784.7	61518	106351.94	84926.086	94351.234
P38646 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P39023	13320.318	7880.4893	23748.764	16034.73	11560.111	15301.789	16316.997	17034.5	9895.71	15788.705	15685	16188.447
P39023 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P39656	9553.54	4870.66	14599.335	27023.215	19308.777	40798.938	5840.3013	5594.578	4533.315	18695.295	14858.08	20116.29
P39656 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P39687	15886.725	7460.0186	24291.914	43961.875	38835.164	54156.504	37640.617	37279.78	32371.822	39392.473	24494.951	33748.977
P39687 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P40123	8348.199	7067.6094	19644.217	30624.064	23376.367	35589.22	5014.5015	4356.833	3953.1265	37698.11	21559.996	34235.797
P40123 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P40227	32702.2	10837.516	29046.145	6040.6865	6169.504	8745.713	17240.73	16505.305	20337.285	2480.1182	2026.6187	2375.471
P40227 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P40429	2385.2983	1504.7078	3680.9504	16651.168	13925.729	24148.54	NA	NA	NA	NA	NA	NA
P40429 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P40925	300324.78	178190.39	573268.75	441177.2	366512.06	559379.9	353632.03	358423.44	295793.8	146737.8	171387.62	185841.6
P40925 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P40926	150888.3	95877.27	203800.22	474897.25	405811.75	768168.56	408829.72	560304.9	396046.62	275577.72	213194.73	245180.28
P40926 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P40939	21300.021	11142.501	39050.01	104366.38	74772.12	130028.04	86957.82	94178.47	124308.39	63316.51	51059.09	55858.164
P40939 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P41250	6741.915	489.62378	10203.774	10494.293	8662.331	13201.813	NA	NA	NA	NA	NA	NA
P41250 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P42126	5490.5664	1400.0835	7139.259	14654.9375	11392.256	18563.75	16486.066	21362.004	9561.338	7271.1514	5699.814	7571.6367
P42126 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P42224	1600.0211	1126.1974	6103.314	9340.209	13575.47	12373.745	3419.3289	2793.1975	2108.0698	5064.3867	2876.5579	4602.815
P42224 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P42704	20561.125	13695.471	38119.277	11525.828	9217.518	14093.152	22854.936	26604.512	15536.921	9949.183	10451.684	10624.659
P42704 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P42765	22868.35	4443.4487	19493.037	29406.904	17220.725	35686.29	16796.531	18315.984	7597.6426	10721.463	10001.664	12779.92
P42765 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P42766	11660.53	4908.1064	23172.373	16743.328	11521.3125	18236.672	NA	NA	NA	NA	NA	NA
P42766 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P43034	17435.416	7614.92	19197.385	22821.611	16389.145	27383.56	8836.143	9869.847	24222.629	7941.732	8010.394	8959.758
P43034 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P43155	4944.8433	1654.675	7956.7217	10260.008	8906.705	10817.02	6965.329	8220.439	4925.754	14575.764	10845.07	14993.145
P43155 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P43243	6442.316	4162.6895	11464.909	30627.076	20434.527	36975.953	7377.533	8452.566	5559.698	17066.23	8902.07	18479.088
P43243 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P43307	NA	NA	6180.2485	9837.152	13677.428	20798.686	3194.9543	2819.2883	2212.1643	NA	NA	NA
P43307 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P43490	25636.035	9915.422	37832.055	36211.332	39139.22	52921.637	26557.922	31106.2	18862.102	30051.244	23059.828	30251.152
P43490 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P43652	4940.4277	2460.7268	1728.3838	NA	NA	NA	NA	NA	NA	NA	NA	NA
P43652 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P43686	1655.5505	466.7617	3957.7092	1790.84	2043.501	2677.5532	NA	NA	NA	2342.062	1758.9653	1809.1624
P43686 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P45379	60928.785	25618.32	86803.16	91108.62	54359.566	86329.984	76079.51	94591.08	78219.8	167234.48	89457.56	162569.53
P45379 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P45880	111837.17	52923.094	148170.7	117358.6	99682.41	123282.82	160182.4	181101.42	150997.92	203420.62	179679.1	251410.28
P45880 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P45954	2264.4404	1496.4933	4328.1587	9071.568	6553.431	8254.983	10539.509	14853.934	12120.071	9770.018	7997.079	10098.391
P45954 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P45974	14936.622	6517.8647	25631.533	1768.0417	1729.1499	3006.152	NA	NA	NA	16880.58	6093.1104	11976.574
P45974 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P46776	3995.7856	1827.0947	19890.125	10150.048	7267.302	9591.874	17073.191	20385.781	23206.268	8930.232	10037.209	10321.689
P46776 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P46777	6186.1973	5028.585	11514.559	16835.791	20800.137	26847.852	39870.184	41317.83	25891.746	60711.25	43305.934	67458.516
P46777 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P46778	5643.221	9130.057	15449.996	40241.82	36337.086	52874.117	NA	NA	NA	33217.09	49620.703	48323.58
P46778 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P46779	4644.9316	2489.3289	9651.975	10881.583	8211.65	12956.058	8943.973	9216	5581.953	7675.854	7184.923	8286.955
P46779 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P46781	1511.1105	893.4873	8213.178	7626.215	6177.385	10915.032	1578.2668	2110.484	571.5976	2136.9468	1150.3545	1519.7487
P46781 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P46783	3305.6343	2918.5098	9699.659	10502.929	10009.622	14718.269	9857.742	9984.76	10744.801	13687.279	1604.5731	8237.933
