UNTR_The_002_1	UNTR_The_002_2	UNTR_The_002_3	UNTR_The_008_1	UNTR_The_008_2	UNTR_The_008_3	UNTR_The_024_1	UNTR_The_024_2	UNTR_The_024_3	UNTR_The_072_1	UNTR_The_072_2	UNTR_The_072_3
P02771	112661.445	54174.176	22950.578	71541.42	28115.814	34049.832	138196.27	122945.87	126322.13	249862.92	58384.617	226925.25
P02771 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P02786	7014.443	4360.735	12498.348	8576.686	7204.9697	10257.42	NA	NA	NA	14978.898	9623.32	13128.826
P02786 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P02788	629829.4	235922.2	230287.84	224001.72	111117.16	152459.75	451152.8	421089.06	387358.75	562793.94	417510.16	469308.75
P02788 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P04004	194827.52	63453.42	242627.33	22602.74	29234.99	39550.75	37338.535	43295.504	34890.125	227368.45	120752.97	187359.03
P04004 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P04040	1590.9543	1285.8212	8472.218	NA	NA	NA	NA	NA	NA	NA	NA	NA
P04040 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P04062	5610.132	2162.375	10175.412	20088.133	13726.404	17794.479	11898.466	13314.785	12475.8	8545.239	3800.747	6106.0557
P04062 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P04075	253971.75	166347.44	361444.1	446198.25	292588.7	400082.5	324873.8	351801.8	321778.66	441467.6	325465.7	332527.56
P04075 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P04083	7956.5107	6039.572	35155.227	50853.434	45675.77	65783.414	17012.48	19433.785	12992.999	25100.742	16274.207	23439.143
P04083 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P04179	41743.11	10768.256	60846.36	NA	NA	NA	25500.117	28239.557	18211.238	32385.986	20886.24	24810.828
P04179 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P04264	278182.8	201803.4	149861.7	194865.47	311035.47	286090.38	69532.76	157723.14	256229.23	257802.19	236886.25	139873.1
P04264 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P04406	447683.06	251180.12	1045374.06	2377162.8	1805055.8	3204504.5	1597487.1	1725895.5	1924634.1	1319739.8	790913.25	974428.25
P04406 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P04632	5107.496	3380.5496	6866.05	9789.305	6444.4834	10727.387	13178.516	15610.906	6938.3384	9805.262	9871.89	12883.494
P04632 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P04792	924029.1	542492.06	1492159.2	429483.44	348355.3	471854.06	699151.4	818892.56	883832.5	501068.28	317598.5	487396.1
P04792 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P04843	40722.543	14414.499	64753.99	40322.21	48135.414	81296.69	24263.623	22250.184	21473.625	30011.467	25185.963	35030.05
P04843 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P04844	2785.6514	6504.039	3957.241	NA	NA	NA	NA	NA	NA	NA	NA	NA
P04844 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P04899	5652.856	3840.3025	19394.818	10187.531	11156.548	19076.531	7716.536	8833.197	8376.521	NA	NA	NA
P04899 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P05023	56229.457	29769.42	80268.41	54820	44277.89	66644.58	36226.67	32657.303	19639.111	96015.57	45648.71	70809.95
P05023 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P05026	45790.395	23332.367	59868.055	68823.92	50442.97	87575.18	55042.812	58690.777	57131.945	37697.76	16903.648	33344.082
P05026 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P05091	12396.396	3940.2104	16865.635	21847.229	17093.238	27990.04	5855.7363	5765.244	9330.647	18917.148	10073.667	16656.719
P05091 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P05106	2622.5981	503.52344	3400.2393	NA	NA	NA	NA	NA	NA	NA	NA	NA
P05106 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P05141	83525.23	40310.457	106297.36	99770.92	84223.625	160523.97	76089.516	91071.88	88685.78	103520.81	80692.04	127623.82
P05141 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P05198	6627.9424	1453.8451	14229.746	12345.812	9938.924	17523.836	NA	NA	NA	9993.115	5187.536	8271.897
P05198 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P05387	31302.191	18507.389	44300.44	62686.824	57500.695	68654.9	71809.66	90400.516	76116.34	124304.64	77089.3	113530.13
P05387 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P05413	227246.03	151308.4	343667.38	422562.56	308765.8	452304.75	339443.62	385177.62	323676.4	329957.2	276786.6	331142
P05413 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
