translist	protlist	corlist
ENST00000538399	Q9NZN4	NA
ENST00000455786	Q9P0M6	NA
ENST00000643246	Q9P2R7	NA
ENST00000406363	Q9UBY9	NA
ENST00000632729	Q9UHD8	NA
ENST00000451279	Q9UHG3	NA
ENST00000647380	Q9UII2	NA
ENST00000611749	Q9UIJ7	NA
ENST00000619795	Q9UJZ1	NA
ENST00000420959	Q9ULV4	NA
ENST00000551061	Q9UQ80	NA
ENST00000639391	Q9Y230	NA
ENST00000646091	Q9Y265	NA
ENST00000022615	Q9Y277	NA
ENST00000556161	Q9Y281	NA
ENST00000259318	Q9Y2D5	NA
ENST00000541170	Q9Y383	NA
ENST00000538718	Q9Y3F4	NA
ENST00000314888	Q9Y490	NA
ENST00000626494	Q9Y4L1	NA
ENST00000590811	Q9Y4W6	NA
ENST00000374379	Q9Y696	NA
ENST00000433140	Q9Y6C2	NA
ENST00000421047	Q9Y6M1	NA
