baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSG00000003249.13	203.776721066194	2.33079002722438	1.70024268640426	1.37085725812098	0.17041945758335	0.723875939539552
ENSG00000003393.14	561.059170543758	-0.587026757564138	0.943024473480082	-0.622493661694494	0.533617310244848	0.916541304911063
ENSG00000003400.14	9.4377918026542	1.22050753368016	3.16923781404817	0.385110744378367	NA	NA
ENSG00000003402.19	806.741589103348	-0.245070553236957	1.11565219386897	-0.219665729681468	0.82613149650831	0.974288506635194
ENSG00000003436.15	1010.66456890439	0.755004355377126	0.830229181613016	0.909392697941863	0.363142874861173	0.868495383055877
ENSG00000003509.15	74.5854946840531	-1.34235047247986	1.97316066930308	-0.680304697616935	0.496311550686737	0.901572709727854
ENSG00000003756.16	1252.97139387155	-0.345177675950464	0.75984611380728	-0.454273134623166	0.649632249947534	0.9482766562424
ENSG00000003987.13	77.8232140454308	-5.94049465816598	2.62705437397194	-2.2612758673831	NA	NA
ENSG00000003989.17	1040.73660215534	-0.0999206869169231	0.630281596527591	-0.158533403906152	0.874036500962336	0.98149541356324
ENSG00000004059.10	979.558365235259	0.644709925426235	0.664139805074446	0.970744292843534	0.331675629335911	0.857658982929506
ENSG00000004139.13	385.004727349777	-1.01298666624871	1.58871096495838	-0.63761545592105	0.523724032036199	0.911948693045257
ENSG00000004142.11	995.760534303289	0.0880904092402476	0.57900086538388	0.152142102899697	0.879074857401853	0.981763862064639
ENSG00000004399.12	1155.78503248159	0.963573064069769	0.798937730350253	1.2060677916004	0.227791352485784	0.782884780827572
ENSG00000004455.16	3180.00352474071	-0.2490704150165	0.526845646674498	-0.472757849644687	0.636385949007979	0.945072260873122
ENSG00000004468.12	14.7581773795028	5.13282748923354	4.16616087878048	1.23202815219561	NA	NA
ENSG00000004478.7	1148.10265262619	-1.18086042531297	0.977719141575719	-1.20777059085687	0.227135516633311	0.782257085280087
ENSG00000004487.15	1090.63419802533	-0.783713566245016	0.61790817038362	-1.2683333929028	0.204678916828203	0.756550280337455
ENSG00000004534.14	1098.28969004603	0.943074578593991	0.957733325784802	0.984694333175887	0.324774237117912	0.85419205966852
ENSG00000004660.14	181.957222377239	-0.396803273807053	1.80334543938839	-0.220037306852108	0.825842099965929	0.974287401610117
ENSG00000004700.15	197.35611859864	-1.05463508022931	2.45776734223419	-0.429102894365344	0.667848346028089	0.956285687502312
ENSG00000004766.15	193.839406278894	-1.62628332304182	1.72812657888077	-0.941067247571119	0.346670398554961	0.860100679281167
ENSG00000004776.12	62.676772360087	-2.81368501331622	3.0960070164007	-0.908810929177835	NA	NA
ENSG00000004777.18	17.9330456580816	3.02352647923629	2.71465394724929	1.1137797074651	0.265373704597561	0.810523612771995
ENSG00000004779.9	2050.24305653475	-0.282318619002908	0.552524085187692	-0.510961651394806	0.609377909734277	0.939809435156527
ENSG00000004799.7	497.420361468674	-0.0756228270893352	1.12142314315382	-0.0674346945227636	0.946235649804242	0.990046332051761
ENSG00000004809.13	0.0349612312150063	-3.37461750526766	4.28498801885239	-0.787544210256963	0.430963358783883	NA
ENSG00000004838.13	24.01660856267	0.831308022155663	4.20169506817309	0.19785063139223	0.843161930966977	0.97778082565845
ENSG00000004846.16	4.43079010124341	2.25881504820741	4.14916445376306	0.544402390741295	NA	NA
ENSG00000004848.7	0	NA	NA	NA	NA	NA
ENSG00000004864.13	610.035336135571	2.62026645348999	0.978811562641263	2.67698763837583	0.00742873757498054	0.19188487193187
ENSG00000004866.20	819.575944602313	-0.228777095717804	1.13804761307776	-0.201025943984095	0.840678287777346	0.976771471111359
ENSG00000004897.11	1321.68426296206	0.485785671269831	0.698070890633922	0.695897333333419	0.486493127448527	0.898815403203176
ENSG00000004939.13	0	NA	NA	NA	NA	NA
ENSG00000004948.13	0	NA	NA	NA	NA	NA
ENSG00000004961.14	136.388845742115	0.205560494704465	1.73240380215547	0.118656224633486	0.905547719132365	0.984857613941244
